quarter,processing,transaction,time,value
Whole year,0-97 Total,import,2019,6585310332
Whole year,0-97 Total,export,2019,5517681172
Whole year,"0-9 Provisions and livestock, total",import,2019,926817251
Whole year,"0-9 Provisions and livestock, total",export,2019,5067923531
Whole year,"0 Live Animals Other Than Fish, Crustaceans, Molluscs And Aquatic Invertebrates Of Division",import,2019,25196
Whole year,"0 Live Animals Other Than Fish, Crustaceans, Molluscs And Aquatic Invertebrates Of Division",export,2019,50
Whole year,1 Meat And Meat Preparations,import,2019,216181654
Whole year,1 Meat And Meat Preparations,export,2019,34923
Whole year,2 Dairy Products And Birds Eggs,import,2019,129830392
Whole year,2 Dairy Products And Birds Eggs,export,2019,NA
Whole year,"3 Fish (Not Marine Mammals), Crustaceans, Molluscs And Aquatic Invertebrates, And Preparations Thereo",import,2019,40178281
Whole year,"3 Fish (Not Marine Mammals), Crustaceans, Molluscs And Aquatic Invertebrates, And Preparations Thereo",export,2019,5063644083
Whole year,4 Cereals And Cereal Preparations,import,2019,142335345
Whole year,4 Cereals And Cereal Preparations,export,2019,NA
Whole year,5 Vegetables And Fruit,import,2019,161822197
Whole year,5 Vegetables And Fruit,export,2019,40
Whole year,"6 Sugars, Sugar Preparations And Honey",import,2019,42795699
Whole year,"6 Sugars, Sugar Preparations And Honey",export,2019,1000
Whole year,"7 Coffee, Tea, Cocoa, Spices And Manufactures Thereof",import,2019,81330367
Whole year,"7 Coffee, Tea, Cocoa, Spices And Manufactures Thereof",export,2019,NA
Whole year,8 Feeding Stuff For Animals (Not Including Unmilled Cereals),import,2019,13263984
Whole year,8 Feeding Stuff For Animals (Not Including Unmilled Cereals),export,2019,4243436
Whole year,9 Miscellaneous Edible Products And Preparations,import,2019,99054135
Whole year,9 Miscellaneous Edible Products And Preparations,export,2019,NA
Whole year,"11-12 Alcoholic beverages and tobacco, total",import,2019,175341719
Whole year,"11-12 Alcoholic beverages and tobacco, total",export,2019,56220
Whole year,11 Beverages,import,2019,118411991
Whole year,11 Beverages,export,2019,56220
Whole year,12 Tobacco And Tobacco Manufactures,import,2019,56929727
Whole year,12 Tobacco And Tobacco Manufactures,export,2019,NA
Whole year,"21-29 Raw materials, inedible, total",import,2019,36937240
Whole year,"21-29 Raw materials, inedible, total",export,2019,7882289
Whole year,"21 Hides, Skins And Furskins, Raw",import,2019,27280
Whole year,"21 Hides, Skins And Furskins, Raw",export,2019,671937
Whole year,22 Oil Seeds And Oleaginous Fruits,import,2019,737357
Whole year,22 Oil Seeds And Oleaginous Fruits,export,2019,NA
Whole year,23 Crude Rubber (Including Synthetic And Reclaimed),import,2019,44328
Whole year,23 Crude Rubber (Including Synthetic And Reclaimed),export,2019,NA
Whole year,24 Cork And Wood,import,2019,17443328
Whole year,24 Cork And Wood,export,2019,NA
Whole year,25 Pulp And Waste Paper,import,2019,173647
Whole year,25 Pulp And Waste Paper,export,2019,NA
Whole year,26 Textile Fibers (Other Than Wool Tops And Other Combed Wool) And Their Wastes (Not Manufactured Into,import,2019,726812
Whole year,26 Textile Fibers (Other Than Wool Tops And Other Combed Wool) And Their Wastes (Not Manufactured Into,export,2019,142475
Whole year,"27 Crude Fertilizers (Imports Only), Except Those Of Division 56, And Crude Minerals (Excluding Coal,",import,2019,13019407
Whole year,"27 Crude Fertilizers (Imports Only), Except Those Of Division 56, And Crude Minerals (Excluding Coal,",export,2019,29116
Whole year,28 Metalliferous Ores And Metal Scrap,import,2019,24057
Whole year,28 Metalliferous Ores And Metal Scrap,export,2019,6790811
Whole year,"29 Crude Animal And Vegetable Materials, N.E.S.",import,2019,4741024
Whole year,"29 Crude Animal And Vegetable Materials, N.E.S.",export,2019,247950
Whole year,"32-35 Mineral fuels and lubricants etc., total",import,2019,866219780
Whole year,"32-35 Mineral fuels and lubricants etc., total",export,2019,3862
Whole year,"32 Coal, Coke And Briquettes",import,2019,86219
