subitem;size;lbl
Provisions and livestock;1; 
Alcoholic beverages and tobacco;1; 
Raw materials, inedible;1; 
Mineral fuels and lubricants etc.;1; 
Animal or vegetable fats and oils;1; 
Chemicals and chemical products;1; 
Manufactured products mainlysemi-manufactured products;1; 
Machinery and transport equipment;1; 
Manufactured products;1; 
Miscellaneous articles and transactions;1; 
Live Animals Other Than Fish, Crustaceans, Molluscs And Aquatic Invertebrates Of Division;25197;Live Animals (Not Fish)
Meat And Meat Preparations;216181655;Meat
Dairy Products And Birds Eggs;129830393;Dairy and Eggs
Fish (Not Marine Mammals), Crustaceans, Molluscs And Aquatic Invertebrates, And Preparations Thereo;40178282;Fish
Cereals And Cereal Preparations;142335346;Cereals
Vegetables And Fruit;161822198;Vegetables And Fruit
Sugars, Sugar Preparations And Honey;42795700;Sugar
Coffee, Tea, Cocoa, Spices And Manufactures Thereof;81330368;Coffee
Feeding Stuff For Animals (Not Including Unmilled Cereals);13263985;Fodder
Miscellaneous Edible Products And Preparations;99054136;Misc. Edible
Beverages;118411992;Beverage
Tobacco And Tobacco Manufactures;56929728;Tobacco
Hides, Skins And Furskins, Raw;27281;Hides and Skins
Oil Seeds And Oleaginous Fruits;737358;Oil Seeds
Crude Rubber (Including Synthetic And Reclaimed);44329;Crude Rubber
Cork And Wood;17443329;Cork and Wood
Pulp And Waste Paper;173648;Pulp
Textile Fibers (Other Than Wool Tops And Other Combed Wool) And Their Wastes (Not Manufactured Into;726813;Textile Fibers
Crude Fertilizers (Imports Only), Except Those Of Division 56, And Crude Minerals (Excluding Coal,;13019408;Crude Fertilizers
Metalliferous Ores And Metal Scrap;24058;Metal Ores and Scrap
Crude Animal And Vegetable Materials, N.E.S.;4741025;Crude Animal + Vegetable Materials
Coal, Coke And Briquettes;86220;Coal
Petroleum, Petroleum Products And Related Materials;862757669;Petroleum
Gas, Natural And Manufactured;3375894;Gas
Electric Current;2;Electric Current
Animal Oils And Fats;118068;Animal Oils and Fats
Fixed Vegetable Fats And Oils, Crude, Refined Or Fractionated;3700349;Fixed Veg. Fats and Oils
Animal Or Vegetable Fats And Oils Processed, Waxes And Inedible Mixtures Or Preparations Of Animal;1603557;Processed Animal/Veg. Fats and Oils
Organic Chemicals;1767408;Organic Chemicals
Inorganic Chemicals;4592037;Inorganic Chemicals
Dyeing, Tanning And Coloring Materials;28094720;Dye
Medicinal And Pharmaceutical Products;104239572;Pharmaceuticals
Essential Oils And Resinoids And Perfume Materials, Toilet, Polishing And Cleansing Preparations;66936883;Perfume Materials and Essential Oils
Fertilizers (Exports Include Group 272, Imports Exclude Group 272);4137162;Fertilizers
Plastics In Primary Forms;5533861;Plastics (Primary Form)
Plastics In Nonprimary Forms;31591852;Plastics (Nonprimary Form)
Chemical Materials And Products, N.E.S.;31384260;Chemical Materials
Leather, Leather Manufactures, N.E.S., And Dressed Furskins;1746633;Leather
Rubber Manufactures, N.E.S.;16496620;Rubber
Cork And Wood Manufactures Other Than Furniture;72950211;Cork and Wood
Paper, Paperboard, And Articles Of Paper Pulp, Paper Or Paper Board;76671898;Paper
Textile Yarn, Fabrics, Made-Up Articles, N.E.S., And Related Products;69421674;Textile Yarns
Nonmetallic Mineral Manufactures, N.E.S.;130514859;Nonmetallic Mineral Manufactures
Iron And Steel;85050641;Iron and Steel
Nonferrous Metals;5860795;Nonferrous Metals
Manufactures Of Metals, N.E.S.;245918635;Manufactures of Metals
Power Generating Machinery And Equipment;99178730;Power Generating Machinery
Machinery Specialized For Particular Industries;199784391;Specialized Machinery
Metalworking Machinery;27027647;Metalworking Machinery
General Industrial Machinery And Equipment, N.E.S., And Machine Parts, N.E.S.;169232944;General Industrial Machinery
Office Machines And Automatic Data Processing Machines;111859889;Office Machines
Telecommunications And Sound Recording And Reproducing Apparatus And Equipment;60639589;Telecommunications
Electrical Machinery, Apparatus And Appliances, N.E.S., And Electrical Parts Thereof (Including Non;168360701;Electrical Machinery
Road Vehicles (Including Air-Cushion Vehicles);226703844;Road Vehicles
Transport Equipment, N.E.S.;1794032679;Transport Equipment
Prefabricated Buildings, Sanitary, Plumbing, Heating And Lighting Fixtures And Fittings, N.E.S;39879553;Prefabricated Buildings
Furniture And Parts Thereof, Bedding, Mattresses, Mattress Supports, Cushions And Similar Stuffed Furniture;112937224;Furniture
Travel Goods, Handbags And Similar Containers;4904426;Travel Goods
Articles Of Apparel And Clothing Accessories;152658604;Apparel
Footwear;22066848;Footwear
Profssional, Scientific And Controlling Instruments And Apparatus, N.E.S.;73294504;Scientific Instruments
Photographic Apparatus, Equipment And Supplies And Optical Goods, N.E.S., Watches And Clocks;4783636;Photo Equipment
Miscellaneous Manufactured Articles, N.E.S.;192658626;Misc. Manufactured
Special Transactions And Commodities Not Classified According To Kind;131092479;Special Transactions + Commodities
Coin (Other Than Gold Coin), Not Being Legal Tender;339;Coin
Gold, Nonmonetary (Excluding Gold Ores And Concentrates);566037;Gold
Root;1; 
