"DateTime";"Luftfugtighed"
"2020-08-01 00:00:00";78,1
"2020-08-02 00:00:00";82,6
"2020-08-03 00:00:00";74,3
"2020-08-04 00:00:00";70,4
"2020-08-05 00:00:00";79,9
"2020-08-06 00:00:00";67,1
"2020-08-07 00:00:00";64,5
"2020-08-08 00:00:00";65,4
"2020-08-09 00:00:00";68,1
"2020-08-10 00:00:00";70,1
"2020-08-11 00:00:00";76,2
"2020-08-12 00:00:00";72,4
"2020-08-13 00:00:00";71,3
"2020-08-14 00:00:00";70,6
"2020-08-15 00:00:00";76,2
"2020-08-16 00:00:00";68,3
"2020-08-17 00:00:00";65,1
"2020-08-18 00:00:00";83,2
"2020-08-19 00:00:00";86,3
"2020-08-20 00:00:00";94,6
"2020-08-21 00:00:00";85,6
"2020-08-22 00:00:00";75,7
"2020-08-23 00:00:00";85,8
"2020-08-24 00:00:00";74,2
"2020-08-25 00:00:00";71,9
"2020-08-26 00:00:00";88,5
"2020-08-27 00:00:00";84,6
"2020-08-28 00:00:00";90,7
"2020-08-29 00:00:00";89,4
"2020-08-30 00:00:00";81,7
"2020-08-31 00:00:00";71,2
