"DateTime";"Luftfugtighed"
"2020-01-01 00:00:00";82,8
"2020-01-02 00:00:00";90
"2020-01-03 00:00:00";88,3
"2020-01-04 00:00:00";78,4
"2020-01-05 00:00:00";88
"2020-01-06 00:00:00";92,7
"2020-01-07 00:00:00";90,6
"2020-01-08 00:00:00";86,8
"2020-01-09 00:00:00";96
"2020-01-10 00:00:00";94,9
"2020-01-11 00:00:00";90,6
"2020-01-12 00:00:00";96
"2020-01-13 00:00:00";92,9
"2020-01-14 00:00:00";89,5
"2020-01-15 00:00:00";91,7
"2020-01-16 00:00:00";85,4
"2020-01-17 00:00:00";90,7
"2020-01-18 00:00:00";90,3
"2020-01-19 00:00:00";83,3
"2020-01-20 00:00:00";89,5
"2020-01-21 00:00:00";90,3
"2020-01-22 00:00:00";87
"2020-01-23 00:00:00";96,5
"2020-01-24 00:00:00";93,7
"2020-01-25 00:00:00";93,8
"2020-01-26 00:00:00";93,3
"2020-01-27 00:00:00";95,2
"2020-01-28 00:00:00";93,5
"2020-01-29 00:00:00";85,5
"2020-01-30 00:00:00";92,6
"2020-01-31 00:00:00";91,3
