"DateTime";"Luftfugtighed"
"2020-03-01 00:00:00";84,7
"2020-03-02 00:00:00";89
"2020-03-03 00:00:00";95,2
"2020-03-04 00:00:00";89,2
"2020-03-05 00:00:00";90,9
"2020-03-06 00:00:00";91,6
"2020-03-07 00:00:00";91
"2020-03-08 00:00:00";88,5
"2020-03-09 00:00:00";89,8
"2020-03-10 00:00:00";93,7
"2020-03-11 00:00:00";77,2
"2020-03-12 00:00:00";81,5
"2020-03-13 00:00:00";78,5
"2020-03-14 00:00:00";74,7
"2020-03-15 00:00:00";83,4
"2020-03-16 00:00:00";82,6
"2020-03-17 00:00:00";84,4
"2020-03-18 00:00:00";85,3
"2020-03-19 00:00:00";77,5
"2020-03-20 00:00:00";70,1
"2020-03-21 00:00:00";62,9
"2020-03-22 00:00:00";62,4
"2020-03-23 00:00:00";58,7
"2020-03-24 00:00:00";54,6
"2020-03-25 00:00:00";54
"2020-03-26 00:00:00";69,5
"2020-03-27 00:00:00";68
"2020-03-28 00:00:00";68,1
"2020-03-29 00:00:00";48,1
"2020-03-30 00:00:00";64,1
"2020-03-31 00:00:00";68,6
