"DateTime";"Luftfugtighed"
"2020-11-01 00:00:00";91,1
"2020-11-02 00:00:00";90
"2020-11-03 00:00:00";82,3
"2020-11-04 00:00:00";85,3
"2020-11-05 00:00:00";87,9
"2020-11-06 00:00:00";90,1
"2020-11-07 00:00:00";91,6
"2020-11-08 00:00:00";94,6
"2020-11-09 00:00:00";89,3
"2020-11-10 00:00:00";88,8
"2020-11-11 00:00:00";91,6
"2020-11-12 00:00:00";96,5
"2020-11-13 00:00:00";95,9
"2020-11-14 00:00:00";95,8
"2020-11-15 00:00:00";91,5
"2020-11-16 00:00:00";90,6
"2020-11-17 00:00:00";93,2
"2020-11-18 00:00:00";91
"2020-11-19 00:00:00";73,6
"2020-11-20 00:00:00";79,4
"2020-11-21 00:00:00";93
"2020-11-22 00:00:00";82,4
"2020-11-23 00:00:00";84,6
"2020-11-24 00:00:00";89,6
"2020-11-25 00:00:00";92,6
"2020-11-26 00:00:00";90,5
"2020-11-27 00:00:00";92,4
"2020-11-28 00:00:00";96
"2020-11-29 00:00:00";88
"2020-11-30 00:00:00";91
