"DateTime";"Luftfugtighed"
"2020-10-01 00:00:00";90,4
"2020-10-02 00:00:00";89,6
"2020-10-03 00:00:00";86,3
"2020-10-04 00:00:00";88,4
"2020-10-05 00:00:00";85
"2020-10-06 00:00:00";93,4
"2020-10-07 00:00:00";91,1
"2020-10-08 00:00:00";94,1
"2020-10-09 00:00:00";85,5
"2020-10-10 00:00:00";85,3
"2020-10-11 00:00:00";88,6
"2020-10-12 00:00:00";88,6
"2020-10-13 00:00:00";89,9
"2020-10-14 00:00:00";73
"2020-10-15 00:00:00";72,8
"2020-10-16 00:00:00";88
"2020-10-17 00:00:00";82,2
"2020-10-18 00:00:00";75,8
"2020-10-19 00:00:00";81,2
"2020-10-20 00:00:00";86,7
"2020-10-21 00:00:00";97,7
"2020-10-22 00:00:00";88,5
"2020-10-23 00:00:00";88,7
"2020-10-24 00:00:00";87,8
"2020-10-25 00:00:00";91,1
"2020-10-26 00:00:00";91,6
"2020-10-27 00:00:00";88,5
"2020-10-28 00:00:00";88
"2020-10-29 00:00:00";91,5
"2020-10-30 00:00:00";98,3
"2020-10-31 00:00:00";97,7
