"DateTime";"Luftfugtighed"
"2020-09-01 00:00:00";74,4
"2020-09-02 00:00:00";79,3
"2020-09-03 00:00:00";86,4
"2020-09-04 00:00:00";76,9
"2020-09-05 00:00:00";77,6
"2020-09-06 00:00:00";78,6
"2020-09-07 00:00:00";74,7
"2020-09-08 00:00:00";81,4
"2020-09-09 00:00:00";86,1
"2020-09-10 00:00:00";73,1
"2020-09-11 00:00:00";78,2
"2020-09-12 00:00:00";82,9
"2020-09-13 00:00:00";85,4
"2020-09-14 00:00:00";83,3
"2020-09-15 00:00:00";85,7
"2020-09-16 00:00:00";82
"2020-09-17 00:00:00";66,8
"2020-09-18 00:00:00";78
"2020-09-19 00:00:00";93
"2020-09-20 00:00:00";98,1
"2020-09-21 00:00:00";90,8
"2020-09-22 00:00:00";86,1
"2020-09-23 00:00:00";82,7
"2020-09-24 00:00:00";76,4
"2020-09-25 00:00:00";92,7
"2020-09-26 00:00:00";92,6
"2020-09-27 00:00:00";89,8
"2020-09-28 00:00:00";93,2
"2020-09-29 00:00:00";82,7
"2020-09-30 00:00:00";90,5
