"DateTime";"Solskin"
"2020-07-01 00:00:00";3,7
"2020-07-02 00:00:00";10,4
"2020-07-03 00:00:00";2,7
"2020-07-04 00:00:00";0
"2020-07-05 00:00:00";3,7
"2020-07-06 00:00:00";7,9
"2020-07-07 00:00:00";6,5
"2020-07-08 00:00:00";8,7
"2020-07-09 00:00:00";10,8
"2020-07-10 00:00:00";5,2
"2020-07-11 00:00:00";9,9
"2020-07-12 00:00:00";4
"2020-07-13 00:00:00";5,1
"2020-07-14 00:00:00";0,5
"2020-07-15 00:00:00";2,1
"2020-07-16 00:00:00";5,6
"2020-07-17 00:00:00";10,4
"2020-07-18 00:00:00";3,6
"2020-07-19 00:00:00";1,1
"2020-07-20 00:00:00";8,9
"2020-07-21 00:00:00";11,2
"2020-07-22 00:00:00";10
"2020-07-23 00:00:00";5,1
"2020-07-24 00:00:00";4
"2020-07-25 00:00:00";4,7
"2020-07-26 00:00:00";3,7
"2020-07-27 00:00:00";5,1
"2020-07-28 00:00:00";4,6
"2020-07-29 00:00:00";3,7
"2020-07-30 00:00:00";5,2
"2020-07-31 00:00:00";9,5
