"DateTime";"Laveste";"Højeste";"Middel"
"2020-04-01 00:00:00";3,7;9,2;5,9
"2020-04-02 00:00:00";2,7;9,2;5,7
"2020-04-03 00:00:00";0,7;8,1;4
"2020-04-04 00:00:00";-1,9;10,1;4,8
"2020-04-05 00:00:00";0,3;13,1;7,8
"2020-04-06 00:00:00";4,3;16,5;9,5
"2020-04-07 00:00:00";2,9;15,9;10,2
"2020-04-08 00:00:00";-0,4;16,9;9,3
"2020-04-09 00:00:00";3;12,5;7,9
"2020-04-10 00:00:00";-0,7;11,5;5,3
"2020-04-11 00:00:00";-2,2;8,9;4,3
"2020-04-12 00:00:00";4,3;15,6;9,7
"2020-04-13 00:00:00";0,2;8,8;4,7
"2020-04-14 00:00:00";-1,4;10,9;4,7
"2020-04-15 00:00:00";5,1;13,9;8,5
"2020-04-16 00:00:00";3,1;13,4;8,7
"2020-04-17 00:00:00";-0,5;11,8;5,9
"2020-04-18 00:00:00";-3,2;12,5;5,6
"2020-04-19 00:00:00";0,5;13,5;7,5
"2020-04-20 00:00:00";-2;15,9;8,4
"2020-04-21 00:00:00";0,1;15,8;9,2
"2020-04-22 00:00:00";0;17,4;9,9
"2020-04-23 00:00:00";0,5;20,4;11,6
"2020-04-24 00:00:00";4,8;16,6;9,9
"2020-04-25 00:00:00";2,6;15,1;9,1
"2020-04-26 00:00:00";0,9;12,4;7,2
"2020-04-27 00:00:00";4,1;9,4;6,8
"2020-04-28 00:00:00";3,3;12,2;7,8
"2020-04-29 00:00:00";1,8;9,8;6,4
"2020-04-30 00:00:00";3,4;11,5;7,2
