"DateTime";"Laveste";"Højeste";"Middel"
"2020-08-01 00:00:00";8,6;23,5;17,3
"2020-08-02 00:00:00";11,8;21,3;17,1
"2020-08-03 00:00:00";9,4;20,3;14,8
"2020-08-04 00:00:00";6,4;20,1;14,1
"2020-08-05 00:00:00";9,7;21,6;16,4
"2020-08-06 00:00:00";10,9;29,3;20,7
"2020-08-07 00:00:00";13,1;30;22
"2020-08-08 00:00:00";11,5;30,9;21
"2020-08-09 00:00:00";12,1;30,3;21,1
"2020-08-10 00:00:00";12,8;28,6;21,1
"2020-08-11 00:00:00";15,1;26,9;21
"2020-08-12 00:00:00";14,7;25,5;19,8
"2020-08-13 00:00:00";11,9;26,4;19,5
"2020-08-14 00:00:00";8,9;27,8;19,4
"2020-08-15 00:00:00";10;28,2;19,1
"2020-08-16 00:00:00";11,1;29,4;21,2
"2020-08-17 00:00:00";13,5;28,8;21,9
"2020-08-18 00:00:00";13,2;24,8;19,4
"2020-08-19 00:00:00";12,4;24,1;18,2
"2020-08-20 00:00:00";13,1;20,7;18,1
"2020-08-21 00:00:00";13,3;26,5;20,3
"2020-08-22 00:00:00";14,9;23,1;18,8
"2020-08-23 00:00:00";12,5;19,9;15,7
"2020-08-24 00:00:00";9,9;18;14,2
"2020-08-25 00:00:00";6,7;18,9;13,6
"2020-08-26 00:00:00";13,1;21,1;16,8
"2020-08-27 00:00:00";9,3;18,6;14,3
"2020-08-28 00:00:00";8;16,9;13,5
"2020-08-29 00:00:00";11,1;19,3;14,9
"2020-08-30 00:00:00";9,3;20,5;15
"2020-08-31 00:00:00";6,5;19;13,8
