"DateTime";"Laveste";"Højeste";"Middel"
"2020-12-01 00:00:00";2;6;4,1
"2020-12-02 00:00:00";2,3;5,7;4,1
"2020-12-03 00:00:00";0,9;3,6;2,1
"2020-12-04 00:00:00";1,6;4,6;2,9
"2020-12-05 00:00:00";0,7;6,6;4,7
"2020-12-06 00:00:00";0,9;7,8;4,9
"2020-12-07 00:00:00";5,3;7,6;6,5
"2020-12-08 00:00:00";4,1;6,9;5,5
"2020-12-09 00:00:00";2,8;5,6;4,4
"2020-12-10 00:00:00";2,2;4,4;3,3
"2020-12-11 00:00:00";1,3;3,8;2,4
"2020-12-12 00:00:00";2,7;5;4
"2020-12-13 00:00:00";2,4;5,4;3,9
"2020-12-14 00:00:00";3,3;7,9;5,3
"2020-12-15 00:00:00";6,4;7,9;7,2
"2020-12-16 00:00:00";3,8;7,9;6,3
"2020-12-17 00:00:00";5,5;7,8;6,8
"2020-12-18 00:00:00";5,6;8,1;6,9
"2020-12-19 00:00:00";3,2;7,1;5,2
"2020-12-20 00:00:00";4,8;7,9;6,9
"2020-12-21 00:00:00";4,6;7,4;6,2
"2020-12-22 00:00:00";4;8,6;6,2
"2020-12-23 00:00:00";-0,8;5,6;3,3
"2020-12-24 00:00:00";-1,7;4,3;1,2
"2020-12-25 00:00:00";-5,1;3,4;-0,5
"2020-12-26 00:00:00";-3,1;5,3;2,7
"2020-12-27 00:00:00";2,1;5,3;3,6
"2020-12-28 00:00:00";1,3;4,2;2,9
"2020-12-29 00:00:00";1,1;4,4;2,6
"2020-12-30 00:00:00";1,2;4,7;3,2
"2020-12-31 00:00:00";-0,3;4;2
