"DateTime";"Laveste";"Højeste";"Middel"
"2020-01-01 00:00:00";2,3;6,2;4,6
"2020-01-02 00:00:00";3,2;5,9;4,6
"2020-01-03 00:00:00";3,7;8;5,5
"2020-01-04 00:00:00";-1,5;6,3;3,5
"2020-01-05 00:00:00";-3,1;6,5;3,1
"2020-01-06 00:00:00";4,6;7,8;6,4
"2020-01-07 00:00:00";3,8;7,7;5,8
"2020-01-08 00:00:00";3,9;10,2;7,4
"2020-01-09 00:00:00";2,2;9,1;5,2
"2020-01-10 00:00:00";2,7;7,9;4,7
"2020-01-11 00:00:00";1,1;7;4,8
"2020-01-12 00:00:00";5,1;8;6,9
"2020-01-13 00:00:00";2,5;6,1;4,5
"2020-01-14 00:00:00";4,7;10,3;6,8
"2020-01-15 00:00:00";4,9;10,9;8
"2020-01-16 00:00:00";4,5;8;6,5
"2020-01-17 00:00:00";4;8,2;6
"2020-01-18 00:00:00";3,1;7,4;5,3
"2020-01-19 00:00:00";0,2;6,9;3,6
"2020-01-20 00:00:00";2,9;7,3;5,8
"2020-01-21 00:00:00";4,7;7,7;6,4
"2020-01-22 00:00:00";0,2;8,2;4,6
"2020-01-23 00:00:00";0,6;7,4;5,3
"2020-01-24 00:00:00";4,6;7,2;6,2
"2020-01-25 00:00:00";3,3;7,2;5,4
"2020-01-26 00:00:00";3,1;5,8;4,6
"2020-01-27 00:00:00";3,2;7,6;5,5
"2020-01-28 00:00:00";3,2;6,2;4,9
"2020-01-29 00:00:00";2,1;6,7;4,4
"2020-01-30 00:00:00";2,9;7,9;6
"2020-01-31 00:00:00";6,2;8,3;7,4
