"DateTime";"Laveste";"Højeste";"Middel"
"2020-07-01 00:00:00";11,4;18,7;15
"2020-07-02 00:00:00";9,3;19,1;14,8
"2020-07-03 00:00:00";5,3;17,2;12,2
"2020-07-04 00:00:00";12,4;16,6;15
"2020-07-05 00:00:00";11,5;19,2;15,8
"2020-07-06 00:00:00";9,4;16,5;12,7
"2020-07-07 00:00:00";8,5;16;12,2
"2020-07-08 00:00:00";7,4;16,5;12,1
"2020-07-09 00:00:00";6,6;18,6;12,9
"2020-07-10 00:00:00";3,6;17,1;12
"2020-07-11 00:00:00";8,4;17,6;13,1
"2020-07-12 00:00:00";8,1;17,6;13,3
"2020-07-13 00:00:00";8,8;19,5;14,1
"2020-07-14 00:00:00";11,9;16,7;14,2
"2020-07-15 00:00:00";8,8;18,7;13,9
"2020-07-16 00:00:00";7,5;20,2;14,6
"2020-07-17 00:00:00";7,9;22,3;16
"2020-07-18 00:00:00";11,4;23,2;17,8
"2020-07-19 00:00:00";14,1;23,5;18,3
"2020-07-20 00:00:00";10,7;19,6;15,1
"2020-07-21 00:00:00";9,3;19,1;14,1
"2020-07-22 00:00:00";8;18,9;13,8
"2020-07-23 00:00:00";6,9;19,4;13,7
"2020-07-24 00:00:00";10,6;19,7;15,5
"2020-07-25 00:00:00";8,7;21,1;15,5
"2020-07-26 00:00:00";13,1;20;16,6
"2020-07-27 00:00:00";9,7;21,6;16,1
"2020-07-28 00:00:00";11,5;19,8;16
"2020-07-29 00:00:00";11,1;16,8;13,5
"2020-07-30 00:00:00";11;18,3;14,1
"2020-07-31 00:00:00";10;24,2;16,2
