"DateTime";"Laveste";"Højeste";"Middel"
"2020-06-01 00:00:00";5;22,7;16,1
"2020-06-02 00:00:00";7,2;24,8;17,5
"2020-06-03 00:00:00";8,4;21,8;16,1
"2020-06-04 00:00:00";10,1;17,8;13,3
"2020-06-05 00:00:00";8,8;15,8;12,1
"2020-06-06 00:00:00";7,1;14,6;10,4
"2020-06-07 00:00:00";6,6;17,2;12,4
"2020-06-08 00:00:00";4,9;19,1;11,9
"2020-06-09 00:00:00";5,6;15,6;11,5
"2020-06-10 00:00:00";4,7;19;13,4
"2020-06-11 00:00:00";13,2;22,9;17,7
"2020-06-12 00:00:00";14,3;19,5;16,9
"2020-06-13 00:00:00";14,5;21,2;17,3
"2020-06-14 00:00:00";10,5;21,8;17,6
"2020-06-15 00:00:00";6,7;23,8;16,9
"2020-06-16 00:00:00";7,2;26,6;18,7
"2020-06-17 00:00:00";11,9;24,5;18,7
"2020-06-18 00:00:00";10,6;23,3;18,1
"2020-06-19 00:00:00";15;21,5;17,7
"2020-06-20 00:00:00";14;18,3;16,4
"2020-06-21 00:00:00";11,2;22,7;17,2
"2020-06-22 00:00:00";10,6;21,1;16,6
"2020-06-23 00:00:00";9,1;23,4;17
"2020-06-24 00:00:00";10,2;24,5;18,7
"2020-06-25 00:00:00";10,5;26,3;20,2
"2020-06-26 00:00:00";15,5;26,7;21,6
"2020-06-27 00:00:00";13,9;26,7;20,9
"2020-06-28 00:00:00";11,3;21;17,5
"2020-06-29 00:00:00";9,2;21,4;15,5
"2020-06-30 00:00:00";11,7;17,4;14,1
