"DateTime";"Laveste";"Højeste";"Middel"
"2020-05-01 00:00:00";2;11,7;7,9
"2020-05-02 00:00:00";3,2;11,9;8,1
"2020-05-03 00:00:00";4,8;14;8,9
"2020-05-04 00:00:00";3;12,7;7,8
"2020-05-05 00:00:00";-0,4;14;7,8
"2020-05-06 00:00:00";1,2;13,1;8,1
"2020-05-07 00:00:00";5,2;16,2;10,1
"2020-05-08 00:00:00";3,4;17,8;10,7
"2020-05-09 00:00:00";7,6;17,8;11,7
"2020-05-10 00:00:00";4,2;17,4;9,7
"2020-05-11 00:00:00";1,7;11,2;6,4
"2020-05-12 00:00:00";1;10;5,8
"2020-05-13 00:00:00";0,2;11,4;6,2
"2020-05-14 00:00:00";1;12,2;6,9
"2020-05-15 00:00:00";4,5;13,5;8,7
"2020-05-16 00:00:00";6,3;12;8,4
"2020-05-17 00:00:00";5,1;15,1;9,6
"2020-05-18 00:00:00";7,2;12,2;9,7
"2020-05-19 00:00:00";6,9;15,2;11,2
"2020-05-20 00:00:00";4,9;18;10,9
"2020-05-21 00:00:00";4,8;18,3;12
"2020-05-22 00:00:00";8,3;17,6;12,5
"2020-05-23 00:00:00";9;16,6;12,5
"2020-05-24 00:00:00";9,1;12,6;10,5
"2020-05-25 00:00:00";7,4;17,4;12,6
"2020-05-26 00:00:00";4,3;19,3;12,5
"2020-05-27 00:00:00";7,6;16,5;12,2
"2020-05-28 00:00:00";5,7;17,9;11,9
"2020-05-29 00:00:00";3;18,6;11,3
"2020-05-30 00:00:00";3,1;21,4;14,2
"2020-05-31 00:00:00";7;20,5;15,1
