"DateTime";"Laveste";"Højeste";"Middel"
"2020-03-01 00:00:00";1,7;6,6;4,4
"2020-03-02 00:00:00";1,1;7,2;3,7
"2020-03-03 00:00:00";2;5,4;4
"2020-03-04 00:00:00";-1,6;7,7;3,5
"2020-03-05 00:00:00";-1,4;7,1;2,6
"2020-03-06 00:00:00";-0,5;5,2;2,7
"2020-03-07 00:00:00";-1,1;7,6;2,3
"2020-03-08 00:00:00";3,8;8,1;6,3
"2020-03-09 00:00:00";3,4;10,5;6,3
"2020-03-10 00:00:00";3,6;8,3;5,8
"2020-03-11 00:00:00";4,4;9,3;6,8
"2020-03-12 00:00:00";1,9;7,9;5,4
"2020-03-13 00:00:00";-0,6;8,2;3,8
"2020-03-14 00:00:00";-5,4;5,8;1,6
"2020-03-15 00:00:00";2,6;9,1;6,1
"2020-03-16 00:00:00";3,9;11,3;7,3
"2020-03-17 00:00:00";4,2;9,8;6,8
"2020-03-18 00:00:00";4,3;10;7,7
"2020-03-19 00:00:00";1,8;10,4;5,7
"2020-03-20 00:00:00";-1,9;8,3;3,9
"2020-03-21 00:00:00";-4;7,6;2
"2020-03-22 00:00:00";-1,2;5,3;2,4
"2020-03-23 00:00:00";-2;6,5;2,4
"2020-03-24 00:00:00";-0,3;8;3,7
"2020-03-25 00:00:00";-0,8;10,1;4,6
"2020-03-26 00:00:00";-4;9,4;3,2
"2020-03-27 00:00:00";-5,2;11,1;3,2
"2020-03-28 00:00:00";-3,4;11,8;4,9
"2020-03-29 00:00:00";-0,2;6;2,5
"2020-03-30 00:00:00";-1,5;7,1;3,2
"2020-03-31 00:00:00";-5,1;8;2,5
