"DateTime";"Laveste";"Højeste";"Middel"
"2020-11-01 00:00:00";9,5;13,5;11,4
"2020-11-02 00:00:00";9,6;16,5;14,1
"2020-11-03 00:00:00";6,1;12,4;9,4
"2020-11-04 00:00:00";6,1;11,3;8,1
"2020-11-05 00:00:00";6,7;12,3;10
"2020-11-06 00:00:00";8,6;14,4;11,3
"2020-11-07 00:00:00";2,4;11,4;8,9
"2020-11-08 00:00:00";0,3;12;6,3
"2020-11-09 00:00:00";7,2;9,1;8
"2020-11-10 00:00:00";6,1;8,9;7,6
"2020-11-11 00:00:00";5,2;7,5;6,3
"2020-11-12 00:00:00";5,6;8,9;7,4
"2020-11-13 00:00:00";4,5;10,4;8
"2020-11-14 00:00:00";1,4;10,6;7,6
"2020-11-15 00:00:00";9,6;13,1;11,1
"2020-11-16 00:00:00";7,4;11,9;9,5
"2020-11-17 00:00:00";7,8;12,4;10,4
"2020-11-18 00:00:00";9,3;12,6;11,4
"2020-11-19 00:00:00";2,2;11,7;6,5
"2020-11-20 00:00:00";0,4;6,8;3,9
"2020-11-21 00:00:00";3,8;10,4;7,7
"2020-11-22 00:00:00";5,1;9,5;7,3
"2020-11-23 00:00:00";4,2;8,9;6,5
"2020-11-24 00:00:00";6,7;10,5;8,9
"2020-11-25 00:00:00";4,9;9,5;6,6
"2020-11-26 00:00:00";1,6;9,4;7,1
"2020-11-27 00:00:00";-3,6;8,6;1,5
"2020-11-28 00:00:00";-3,5;4,4;0,7
"2020-11-29 00:00:00";-0,2;2,9;1,5
"2020-11-30 00:00:00";-0,5;4,1;1,4
