"DateTime";"Laveste";"Højeste";"Middel"
"2020-10-01 00:00:00";12,1;16;13,9
"2020-10-02 00:00:00";12,6;16,5;14,5
"2020-10-03 00:00:00";13,7;16,7;15
"2020-10-04 00:00:00";8,5;16,3;13,9
"2020-10-05 00:00:00";7,4;15,7;12,4
"2020-10-06 00:00:00";6,1;14,6;11,3
"2020-10-07 00:00:00";6,9;15,3;11,4
"2020-10-08 00:00:00";8,3;12,8;10,5
"2020-10-09 00:00:00";5,5;13,6;9,8
"2020-10-10 00:00:00";5,5;12,7;8,7
"2020-10-11 00:00:00";2,9;13,4;7,9
"2020-10-12 00:00:00";1,5;12,5;8,1
"2020-10-13 00:00:00";3,5;13,4;8,9
"2020-10-14 00:00:00";5,5;10,6;8,3
"2020-10-15 00:00:00";5,3;9,3;7,5
"2020-10-16 00:00:00";0,6;12,4;6,8
"2020-10-17 00:00:00";1,6;11,9;8,5
"2020-10-18 00:00:00";2,9;11,1;7,4
"2020-10-19 00:00:00";2;11,7;6,7
"2020-10-20 00:00:00";4,7;11;8,8
"2020-10-21 00:00:00";9;14,2;11,7
"2020-10-22 00:00:00";10,3;14,7;13
"2020-10-23 00:00:00";9;13;10,7
"2020-10-24 00:00:00";8,9;12,9;10,9
"2020-10-25 00:00:00";9,8;13,5;11,8
"2020-10-26 00:00:00";6,7;11,4;9,7
"2020-10-27 00:00:00";7,1;11,4;8,8
"2020-10-28 00:00:00";6,8;12,6;9,4
"2020-10-29 00:00:00";4,8;12,4;8,2
"2020-10-30 00:00:00";5;12,6;9,8
"2020-10-31 00:00:00";5,7;12,8;10,6
