"DateTime";"Laveste";"Højeste";"Middel"
"2020-09-01 00:00:00";4,5;19,3;13,1
"2020-09-02 00:00:00";7,9;20;14,5
"2020-09-03 00:00:00";5,8;18,9;13,7
"2020-09-04 00:00:00";12,3;19,6;15,6
"2020-09-05 00:00:00";9,5;17,5;13,5
"2020-09-06 00:00:00";7,7;17,1;12,1
"2020-09-07 00:00:00";7,8;17,8;13
"2020-09-08 00:00:00";12,9;19,2;16
"2020-09-09 00:00:00";11,5;18,5;15,4
"2020-09-10 00:00:00";5,3;16,9;12,2
"2020-09-11 00:00:00";5,6;17,4;12,8
"2020-09-12 00:00:00";11,4;17,7;13,9
"2020-09-13 00:00:00";10,9;17,8;14,6
"2020-09-14 00:00:00";11,8;24,2;17,8
"2020-09-15 00:00:00";8,2;23,9;15,7
"2020-09-16 00:00:00";9;17,8;13,6
"2020-09-17 00:00:00";3,1;17;10,4
"2020-09-18 00:00:00";0,9;18,3;10,6
"2020-09-19 00:00:00";6;19,4;12,2
"2020-09-20 00:00:00";7,6;14,5;11,3
"2020-09-21 00:00:00";5,3;18,1;11,8
"2020-09-22 00:00:00";4;20,2;12,1
"2020-09-23 00:00:00";4,6;21,1;13,9
"2020-09-24 00:00:00";9,9;17,7;14,8
"2020-09-25 00:00:00";8,4;14,8;12,2
"2020-09-26 00:00:00";10,7;15,6;12,8
"2020-09-27 00:00:00";14,3;20,3;16,2
"2020-09-28 00:00:00";11,8;17,1;14,4
"2020-09-29 00:00:00";10,3;17;13,8
"2020-09-30 00:00:00";9,3;16,6;13,8
