"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-04-01 00:00:00";5,6;10,1;14,8
"2020-04-02 00:00:00";7,4;14,4;21,7
"2020-04-03 00:00:00";6,7;13,1;19,8
"2020-04-04 00:00:00";3,1;7,3;9,8
"2020-04-05 00:00:00";4,3;8,8;13
"2020-04-06 00:00:00";4,4;7,8;10,9
"2020-04-07 00:00:00";3,4;7;11,4
"2020-04-08 00:00:00";2,9;6,7;9,7
"2020-04-09 00:00:00";4,7;9;13,1
"2020-04-10 00:00:00";3,1;6,9;10
"2020-04-11 00:00:00";2,4;5,2;8,3
"2020-04-12 00:00:00";5;11,6;16
"2020-04-13 00:00:00";5,6;11,2;16,6
"2020-04-14 00:00:00";4;10,1;14,6
"2020-04-15 00:00:00";6,6;11,3;16,3
"2020-04-16 00:00:00";5,3;10,1;14,4
"2020-04-17 00:00:00";2,3;5,8;8,3
"2020-04-18 00:00:00";2,2;5,8;8,4
"2020-04-19 00:00:00";1,9;4,5;9,6
"2020-04-20 00:00:00";2;5;8,1
"2020-04-21 00:00:00";2,1;5,4;8,5
"2020-04-22 00:00:00";1,8;5;8
"2020-04-23 00:00:00";1,8;5,5;8,5
"2020-04-24 00:00:00";3,8;8,1;11,2
"2020-04-25 00:00:00";2,5;5,8;9,6
"2020-04-26 00:00:00";2,5;6,2;8,9
"2020-04-27 00:00:00";2,3;5,6;7,7
"2020-04-28 00:00:00";2,2;4,9;7,3
"2020-04-29 00:00:00";3,7;10,1;13,8
"2020-04-30 00:00:00";4,9;11,2;15,7
