"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-08-01 00:00:00";3,4;7,3;10,9
"2020-08-02 00:00:00";3,3;7,5;10
"2020-08-03 00:00:00";2,9;6,6;9,4
"2020-08-04 00:00:00";2,5;6,6;9,5
"2020-08-05 00:00:00";4,2;9,5;13,6
"2020-08-06 00:00:00";3;6,6;10,5
"2020-08-07 00:00:00";2,5;5,3;8,5
"2020-08-08 00:00:00";1,5;3,9;5,6
"2020-08-09 00:00:00";1,2;4;6,1
"2020-08-10 00:00:00";1,6;4,3;6,3
"2020-08-11 00:00:00";2,8;6,4;9,1
"2020-08-12 00:00:00";3,2;6,2;8,4
"2020-08-13 00:00:00";2,4;5,1;7,1
"2020-08-14 00:00:00";1,5;4,1;6,5
"2020-08-15 00:00:00";1,6;3,7;6
"2020-08-16 00:00:00";2,1;4,9;7,7
"2020-08-17 00:00:00";2,5;6,3;9,6
"2020-08-18 00:00:00";2;6,1;8,6
"2020-08-19 00:00:00";1,5;5,4;7,9
"2020-08-20 00:00:00";2,4;6;7,7
"2020-08-21 00:00:00";4,2;9,6;13,5
"2020-08-22 00:00:00";4,9;11;14,9
"2020-08-23 00:00:00";3,9;8,5;12
"2020-08-24 00:00:00";2,7;7,1;9,9
"2020-08-25 00:00:00";2,9;9,9;13,9
"2020-08-26 00:00:00";3,2;10,7;14
"2020-08-27 00:00:00";3;9,3;13,1
"2020-08-28 00:00:00";2,4;7,2;10
"2020-08-29 00:00:00";1,5;6,5;9,2
"2020-08-30 00:00:00";1,6;4,9;7,1
"2020-08-31 00:00:00";2;5,2;7,4
