"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-12-01 00:00:00";1,6;4,8;6,6
"2020-12-02 00:00:00";2,8;7,5;10,3
"2020-12-03 00:00:00";6,3;10,3;13,9
"2020-12-04 00:00:00";5,2;10,4;14,1
"2020-12-05 00:00:00";4,1;9,5;13,7
"2020-12-06 00:00:00";2,9;8,5;11,7
"2020-12-07 00:00:00";6;11;15,5
"2020-12-08 00:00:00";2,5;6,1;8,3
"2020-12-09 00:00:00";3,1;7;9,8
"2020-12-10 00:00:00";3,5;7,6;10,5
"2020-12-11 00:00:00";4,7;9,3;13,2
"2020-12-12 00:00:00";4,3;8,8;12,3
"2020-12-13 00:00:00";3,2;6,7;10,2
"2020-12-14 00:00:00";5,7;10,4;14,9
"2020-12-15 00:00:00";3,3;6,3;8,7
"2020-12-16 00:00:00";3,1;7,9;10,8
"2020-12-17 00:00:00";4,6;8,5;11,6
"2020-12-18 00:00:00";4,6;8,4;11,8
"2020-12-19 00:00:00";4,3;6,6;9,8
"2020-12-20 00:00:00";3,9;5,6;8,2
"2020-12-21 00:00:00";4,4;8,8;12,1
"2020-12-22 00:00:00";5,3;11;16,1
"2020-12-23 00:00:00";2;5,6;7,8
"2020-12-24 00:00:00";2,4;5,9;10,6
"2020-12-25 00:00:00";2,4;5,5;7,6
"2020-12-26 00:00:00";4,8;11,6;16,7
"2020-12-27 00:00:00";10;14;21,3
"2020-12-28 00:00:00";4,8;10,4;14,8
"2020-12-29 00:00:00";2,4;6,9;9,3
"2020-12-30 00:00:00";1,5;4,6;5,9
"2020-12-31 00:00:00";1,4;5,9;8,4
