"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-02-01 00:00:00";6,5;12;20,6
"2020-02-02 00:00:00";5,2;14,6;21,5
"2020-02-03 00:00:00";2,8;7,6;11,2
"2020-02-04 00:00:00";4,6;10;15,2
"2020-02-05 00:00:00";4,1;9,3;13,6
"2020-02-06 00:00:00";5,6;10,2;15,1
"2020-02-07 00:00:00";3;6,8;9,7
"2020-02-08 00:00:00";4,7;8,2;11,4
"2020-02-09 00:00:00";9,1;15,5;23,1
"2020-02-10 00:00:00";6,9;14,1;19,9
"2020-02-11 00:00:00";5,5;12;18,3
"2020-02-12 00:00:00";5,8;11,6;17,2
"2020-02-13 00:00:00";3,7;7,8;11,2
"2020-02-14 00:00:00";2,6;10,1;14,9
"2020-02-15 00:00:00";6,4;11,3;18,6
"2020-02-16 00:00:00";8,9;14,5;23,6
"2020-02-17 00:00:00";8,4;13,6;22,5
"2020-02-18 00:00:00";5,8;11,8;17,5
"2020-02-19 00:00:00";3,6;8,2;11,4
"2020-02-20 00:00:00";6,2;12,1;17,9
"2020-02-21 00:00:00";6,5;11,7;16,8
"2020-02-22 00:00:00";8,9;14,9;22,6
"2020-02-23 00:00:00";6;13,5;21,4
"2020-02-24 00:00:00";4,4;10,8;15,7
"2020-02-25 00:00:00";6,6;13,1;18,6
"2020-02-26 00:00:00";2,9;9,2;13,6
"2020-02-27 00:00:00";1,8;4,9;6,4
"2020-02-28 00:00:00";4,1;9,3;13,5
"2020-02-29 00:00:00";5,9;11,3;18,9
