"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-01-01 00:00:00";4,9;9;12,9
"2020-01-02 00:00:00";6,7;11,4;15,9
"2020-01-03 00:00:00";5,5;11,4;15,9
"2020-01-04 00:00:00";5,9;13;20
"2020-01-05 00:00:00";3,4;7,1;10
"2020-01-06 00:00:00";4,1;8,7;12,3
"2020-01-07 00:00:00";4,8;10,9;14,9
"2020-01-08 00:00:00";5,7;11,3;16,6
"2020-01-09 00:00:00";3,6;9,4;12,4
"2020-01-10 00:00:00";3,3;7,4;12,1
"2020-01-11 00:00:00";6,5;13,4;18,9
"2020-01-12 00:00:00";4;11,2;15,2
"2020-01-13 00:00:00";4;8,4;12,5
"2020-01-14 00:00:00";7,4;13,3;19,7
"2020-01-15 00:00:00";6,8;13,3;21
"2020-01-16 00:00:00";5,6;8,9;13,7
"2020-01-17 00:00:00";4,7;7,2;10,2
"2020-01-18 00:00:00";5,1;10,2;14
"2020-01-19 00:00:00";3,4;7,3;10,3
"2020-01-20 00:00:00";4,5;8;12,9
"2020-01-21 00:00:00";6,1;10,3;14,8
"2020-01-22 00:00:00";4,1;10;14,9
"2020-01-23 00:00:00";4;7,7;11
"2020-01-24 00:00:00";4,1;7,2;10,9
"2020-01-25 00:00:00";3,2;6,4;8,8
"2020-01-26 00:00:00";4,4;8,4;10,8
"2020-01-27 00:00:00";4,5;8,4;11,3
"2020-01-28 00:00:00";4,5;8,1;11,3
"2020-01-29 00:00:00";4,5;7,7;11,6
"2020-01-30 00:00:00";4,5;10,5;14,8
"2020-01-31 00:00:00";5,2;9,7;14,7
