"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-07-01 00:00:00";3,6;8,4;12,5
"2020-07-02 00:00:00";3,4;7,2;11,4
"2020-07-03 00:00:00";3,1;9,6;13,3
"2020-07-04 00:00:00";4,4;9,3;13,4
"2020-07-05 00:00:00";6,1;12,9;18,9
"2020-07-06 00:00:00";6,3;13,7;20,7
"2020-07-07 00:00:00";5,2;11,8;17,3
"2020-07-08 00:00:00";4;8,3;11,6
"2020-07-09 00:00:00";2,6;6,2;8,7
"2020-07-10 00:00:00";2,8;9,4;13,3
"2020-07-11 00:00:00";4,9;10,1;15,2
"2020-07-12 00:00:00";4,2;8,7;13,2
"2020-07-13 00:00:00";2,8;6,7;9,1
"2020-07-14 00:00:00";3;6,4;8,9
"2020-07-15 00:00:00";1,8;5,3;7,8
"2020-07-16 00:00:00";1,7;4,9;7,1
"2020-07-17 00:00:00";1,8;5,2;7,8
"2020-07-18 00:00:00";2,6;6,4;9,5
"2020-07-19 00:00:00";2,3;6,3;9
"2020-07-20 00:00:00";3,9;9,1;12,9
"2020-07-21 00:00:00";4,6;9,9;14
"2020-07-22 00:00:00";4,1;8,8;12,9
"2020-07-23 00:00:00";3,3;7;9,6
"2020-07-24 00:00:00";4,4;9,9;14,7
"2020-07-25 00:00:00";2,8;6,2;8,3
"2020-07-26 00:00:00";3,9;8,2;11,5
"2020-07-27 00:00:00";3,7;7,9;11,8
"2020-07-28 00:00:00";5,1;9,9;15,4
"2020-07-29 00:00:00";5,9;12,3;17,3
"2020-07-30 00:00:00";5,6;10,8;15,9
"2020-07-31 00:00:00";3;8,5;12,1
