"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-05-01 00:00:00";2,8;6,4;8,9
"2020-05-02 00:00:00";1,7;5,6;8,3
"2020-05-03 00:00:00";4,1;7,9;11,9
"2020-05-04 00:00:00";3,8;7,6;12,5
"2020-05-05 00:00:00";2,8;6,3;10,9
"2020-05-06 00:00:00";5,1;11,1;16,6
"2020-05-07 00:00:00";4;7,8;10,9
"2020-05-08 00:00:00";4,2;8,6;12,9
"2020-05-09 00:00:00";2;5,3;7,4
"2020-05-10 00:00:00";3,7;9,4;12,7
"2020-05-11 00:00:00";3,7;8,5;12,5
"2020-05-12 00:00:00";4,6;11,2;16,1
"2020-05-13 00:00:00";2,4;5,8;8,6
"2020-05-14 00:00:00";4,6;9,3;13,5
"2020-05-15 00:00:00";5,3;11;15,8
"2020-05-16 00:00:00";5,7;11,5;16,8
"2020-05-17 00:00:00";5,7;11,7;16,7
"2020-05-18 00:00:00";2,8;7,5;10,7
"2020-05-19 00:00:00";4,6;9,7;13,7
"2020-05-20 00:00:00";2,1;5,4;7,8
"2020-05-21 00:00:00";1,6;4;6,1
"2020-05-22 00:00:00";4,5;9,7;14,2
"2020-05-23 00:00:00";4,1;9,2;14,3
"2020-05-24 00:00:00";5,3;9,9;14,5
"2020-05-25 00:00:00";3,2;8,4;11,9
"2020-05-26 00:00:00";1,8;4,8;7,2
"2020-05-27 00:00:00";4;8,4;12,1
"2020-05-28 00:00:00";2,9;6,9;9,5
"2020-05-29 00:00:00";1,6;5,4;7,1
"2020-05-30 00:00:00";2,3;5,3;8,3
"2020-05-31 00:00:00";2,4;5,8;9,5
