"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-03-01 00:00:00";6,6;12,1;18,7
"2020-03-02 00:00:00";3,3;6,9;9,3
"2020-03-03 00:00:00";3;7,8;11,2
"2020-03-04 00:00:00";2,6;7,4;12,6
"2020-03-05 00:00:00";1,9;5,2;6,8
"2020-03-06 00:00:00";3,3;6,9;10,3
"2020-03-07 00:00:00";2,3;6,2;9,3
"2020-03-08 00:00:00";6,4;10,1;14,8
"2020-03-09 00:00:00";2,8;5,9;10,3
"2020-03-10 00:00:00";5,5;10,1;13,5
"2020-03-11 00:00:00";6,5;11,9;16,9
"2020-03-12 00:00:00";8;17,8;26,3
"2020-03-13 00:00:00";4,6;10,6;15,9
"2020-03-14 00:00:00";3,7;7,8;10,9
"2020-03-15 00:00:00";6,6;9,8;14,2
"2020-03-16 00:00:00";3,6;7,3;10,2
"2020-03-17 00:00:00";5,3;8,7;12,5
"2020-03-18 00:00:00";5;10;13,9
"2020-03-19 00:00:00";3,3;6,6;9,8
"2020-03-20 00:00:00";3,8;9;12,2
"2020-03-21 00:00:00";2,2;7,2;10,1
"2020-03-22 00:00:00";3,7;8,1;10,7
"2020-03-23 00:00:00";4,4;6,8;10,4
"2020-03-24 00:00:00";5;8;12
"2020-03-25 00:00:00";4,1;7,4;10,9
"2020-03-26 00:00:00";2,2;5,8;8,8
"2020-03-27 00:00:00";1,6;4,3;6,4
"2020-03-28 00:00:00";4;11,5;18,2
"2020-03-29 00:00:00";6,3;12;19,7
"2020-03-30 00:00:00";3,7;8,9;13,1
"2020-03-31 00:00:00";3,5;8,5;12,2
