"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-11-01 00:00:00";5,3;9,2;13,9
"2020-11-02 00:00:00";7,7;13,1;19,1
"2020-11-03 00:00:00";4,9;10,3;14,5
"2020-11-04 00:00:00";5,2;12,9;17,7
"2020-11-05 00:00:00";5,8;10,7;15,8
"2020-11-06 00:00:00";4;10,5;15,5
"2020-11-07 00:00:00";2,2;5,5;6,9
"2020-11-08 00:00:00";1,2;4,6;6,8
"2020-11-09 00:00:00";3,3;5,7;8,5
"2020-11-10 00:00:00";3,4;6;8,3
"2020-11-11 00:00:00";3,3;6,4;8,9
"2020-11-12 00:00:00";3,9;7,7;11
"2020-11-13 00:00:00";3;6,8;9,9
"2020-11-14 00:00:00";2,6;6,5;9,5
"2020-11-15 00:00:00";5,3;9;12,6
"2020-11-16 00:00:00";5,1;10,5;14,9
"2020-11-17 00:00:00";5;9,1;12,8
"2020-11-18 00:00:00";6,6;12,4;17,1
"2020-11-19 00:00:00";7,1;14,6;20,4
"2020-11-20 00:00:00";3,4;9,2;13,1
"2020-11-21 00:00:00";6,2;12,4;17,2
"2020-11-22 00:00:00";5,2;11,7;17,8
"2020-11-23 00:00:00";4,2;9,1;13,5
"2020-11-24 00:00:00";5;9,9;13,3
"2020-11-25 00:00:00";3,8;7,9;11,3
"2020-11-26 00:00:00";3,4;7,3;10,5
"2020-11-27 00:00:00";0,9;5;6,3
"2020-11-28 00:00:00";1,6;4,5;6,8
"2020-11-29 00:00:00";1,7;3,4;5,8
"2020-11-30 00:00:00";3,5;8,2;11,3
