"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-10-01 00:00:00";4,9;9;12,9
"2020-10-02 00:00:00";5,1;10,3;14,9
"2020-10-03 00:00:00";7,1;11,5;17,1
"2020-10-04 00:00:00";3,9;10,1;14,9
"2020-10-05 00:00:00";3,3;8,7;11,6
"2020-10-06 00:00:00";3,1;8,2;10,6
"2020-10-07 00:00:00";2,3;6;8,4
"2020-10-08 00:00:00";3,3;7,7;10,2
"2020-10-09 00:00:00";3,4;8,3;12,7
"2020-10-10 00:00:00";3,4;8;10,5
"2020-10-11 00:00:00";1,7;5,8;7,9
"2020-10-12 00:00:00";1,6;5,1;6,8
"2020-10-13 00:00:00";1,4;5,5;9,2
"2020-10-14 00:00:00";5,3;8,8;13,8
"2020-10-15 00:00:00";3,6;6,6;10
"2020-10-16 00:00:00";1,9;6,8;9,3
"2020-10-17 00:00:00";2,4;9,9;12,9
"2020-10-18 00:00:00";3;9,3;13,8
"2020-10-19 00:00:00";2,4;6,8;9,4
"2020-10-20 00:00:00";4,4;9,1;12,9
"2020-10-21 00:00:00";4,2;9,5;13,2
"2020-10-22 00:00:00";6,3;12;16,5
"2020-10-23 00:00:00";3,6;8,7;12,6
"2020-10-24 00:00:00";3,7;8,2;11
"2020-10-25 00:00:00";5,5;9,2;14,3
"2020-10-26 00:00:00";3,5;7;9,7
"2020-10-27 00:00:00";5,4;9,9;14,5
"2020-10-28 00:00:00";5,2;10,4;15,1
"2020-10-29 00:00:00";2,4;6,2;9
"2020-10-30 00:00:00";3;7,4;10,3
"2020-10-31 00:00:00";2,9;8,2;11,4
