"DateTime";"Middel vindhastighed";"Højeste 10 min. middel";"Højeste vindstød"
"2020-09-01 00:00:00";2;5,7;9,1
"2020-09-02 00:00:00";1,8;4,9;7,8
"2020-09-03 00:00:00";3,1;8,2;11,4
"2020-09-04 00:00:00";3,9;8,7;12,5
"2020-09-05 00:00:00";4;10,1;15,3
"2020-09-06 00:00:00";3,6;8,4;12,2
"2020-09-07 00:00:00";3,9;8,2;11,1
"2020-09-08 00:00:00";4,7;9,9;15
"2020-09-09 00:00:00";4,7;10,5;14,6
"2020-09-10 00:00:00";3,9;9,7;14,5
"2020-09-11 00:00:00";3,9;9,4;12,3
"2020-09-12 00:00:00";4,4;10,4;14,1
"2020-09-13 00:00:00";4,4;9,1;12,6
"2020-09-14 00:00:00";3,2;6,6;9,6
"2020-09-15 00:00:00";1,1;3,3;5
"2020-09-16 00:00:00";3,2;9,5;13,7
"2020-09-17 00:00:00";1,7;4,8;7,7
"2020-09-18 00:00:00";2,2;6,3;8,9
"2020-09-19 00:00:00";1,7;4,8;6,3
"2020-09-20 00:00:00";0,9;2,6;4,1
"2020-09-21 00:00:00";1,8;4,5;6,2
"2020-09-22 00:00:00";1,6;4,4;6,2
"2020-09-23 00:00:00";2,9;8;11,2
"2020-09-24 00:00:00";5,5;11,8;17
"2020-09-25 00:00:00";3,3;8,5;11,7
"2020-09-26 00:00:00";3;8,3;11,7
"2020-09-27 00:00:00";4,4;7,5;12,4
"2020-09-28 00:00:00";2,9;6,4;9,2
"2020-09-29 00:00:00";2,8;6,2;8,9
"2020-09-30 00:00:00";2,7;6,6;8,2
