party,votes,municipality,year
Atassut,508,Avannaata,2021
Demokraatit,450,,2021
Inuit Ataqatigiit,1175,,2021
Naleraq,829,,2021
Nunatta Qitornai,266,,2021
Siumut,2145,,2021
Suleqatigiissitsisut,42,,2021
Others,55,,2021
Atassut,189,Kujalleq,2021
Demokraatit,233,,2021
Inuit Ataqatigiit,1580,,2021
Naleraq,152,,2021
Nunatta Qitornai,53,,2021
Siumut,1051,,2021
Suleqatigiissitsisut,35,,2021
Others,103,,2021
Atassut,297,Qeqertalik,2021
Demokraatit,229,,2021
Inuit Ataqatigiit,1349,,2021
Naleraq,391,,2021
Nunatta Qitornai,63,,2021
Siumut,901,,2021
Suleqatigiissitsisut,29,,2021
Others,33,,2021
Atassut,440,Sermersooq,2021
Demokraatit,1274,,2021
Inuit Ataqatigiit,4420,,2021
Naleraq,944,,2021
Nunatta Qitornai,158,,2021
Siumut,2577,,2021
Suleqatigiissitsisut,208,,2021
Others,338,,2021
Atassut,445,Qeqqata,2021
Demokraatit,266,,2021
Inuit Ataqatigiit,1388,,2021
Naleraq,933,,2021
Nunatta Qitornai,99,,2021
Siumut,1297,,2021
Suleqatigiissitsisut,61,,2021
Others,1,,2021
Atassut,420,Avannaata,2018
Demokraatit,1151,,2018
Inuit Ataqatigiit,986,,2018
Naleraq,787,,2018
Nunatta Qitornai,285,,2018
Siumut,1807,,2018
Suleqatigiissitsisut,50,,2018
Others,47,,2018
Atassut,290,Kujalleq,2018
Demokraatit,420,,2018
Inuit Ataqatigiit,1088,,2018
Naleraq,306,,2018
Nunatta Qitornai,83,,2018
Siumut,1396,,2018
Suleqatigiissitsisut,45,,2018
Others,45,,2018
Atassut,223,Qeqertalik,2018
Demokraatit,629,,2018
Inuit Ataqatigiit,1264,,2018
Naleraq,405,,2018
Nunatta Qitornai,186,,2018
Siumut,856,,2018
Suleqatigiissitsisut,49,,2018
Others,37,,2018
Atassut,323,Sermersooq,2018
Demokraatit,2746,,2018
Inuit Ataqatigiit,3173,,2018
Naleraq,1508,,2018
Nunatta Qitornai,276,,2018
Siumut,2540,,2018
Suleqatigiissitsisut,944,,2018
Others,124,,2018
Atassut,474,Qeqqata,2018
Demokraatit,766,,2018
Inuit Ataqatigiit,967,,2018
Naleraq,925,,2018
Nunatta Qitornai,172,,2018
Siumut,1358,,2018
Suleqatigiissitsisut,105,,2018
Others,38,,2018
