Incantation,Type,Resulting Effect
,,
Aberto,Charm,Opens objects
Accio,Charm,Summons an object
Age Line,Enchanment,Hides things from younger people
Aguamenti,Charm,Shoots water from wand.
Alarte Ascendare,Spell,Shoots things high in the air
Alohomora,Charm,Opens locked objects
Anapneo,Spell,Clears the target’s airway.
Anteoculatia,Hex,Turns head hair into antlers
Anti-Cheating,Spell,Prevents Cheating on Exams
Aparecium,Spell,Reveals invisible ink
Apparate,Spell,Teleportation Spell
Appare Vestigium,Spell,Shows traces of recently used spells in the area
Arania Exumai,Spell,Blasts away Spiders
Aqua Eructo,Spell,Shoots water from wand
Arresto Momentum,Spell,Slows down objects
Ascendio,Spell,Moves an object upward
Avada Kedavra,Curse,Murders opponent – Unforgivable
Avenseguim,Curse,Tracking Spell
Avifors,Charm,Turns small objects into birds
Avis,Spell,Launches birds from your wand
—,—,—
Babbling Curse,Curse,Makes a person babble
Baubillious,Spell,Damages Opponent or Creatures (TCG)
Bluebell Flames,Spell,Shoots blue flames at opponent (TCG)
Bombarda,Spell,Causes explosions
Bombarda Maxima,Spell,Causes Large Explosions
Bubble Head,Charm,Puts a persons head in a protective air bubble
—,—,—
Calvario,Spell,Causes Hair Loss (Lego Video Games)
Cantis,Spell,Forces a person to sing (Lego Video Games)
Carpe Retractum,Spell,Shoots a rope from wand to snag things
Cascading,Jinx,Damages opponents (Video Games)
Caterwauling,Charm,Detects enemies and emits a scream
Cave Inimicum,Charm,Detects enemies and emits an alarm
Cheering,Charm,Makes a person happy and giddy
Cistem Aperio,Spell,Opens things
Colloportus,Spell,Locks Doors
Colloshoo,Spell,Makes a person’s shoes stick to the ground
Colovaria,Charm,Makes an object change color
Combat Bolt,Spell,Shoots a Bolt of energy (Wizards United Game)
Confringo,Curse,Explode Flames on target
Confundus,Charm,Used to confuse opponent
Conjunctivitis,Curse,Damages opponents eyesight
Cornflake Skin,Curse,Give a person cereal skin
Crucio,Curse,Tortures opponent – Unforgivable
Cushioning,Charm,Helps cushion a fall
—,—,—
Defodio,Spell,Dig out materials
Deletrius,Spell,Counters “Prior Incatato”
Densaugeo,Spell,Enlarges Teeth
Deprimo,Spell,Wind Damaging Spell
Depulso,Charm,Drives an object away
Descendo,Spell,Moves an object downwards
Diffindo,Spell,Splits seams
Diminuendo,Spell,Shrinks the target
Dissendium,Spell,Opens passageways
Disillusionment,Charm,Makes the target blend in to the surroundings
Duro,Spell,Makes Objects Hard
Draconifors,Spell,Turns target into a dragon (video games)
Drought,Charm,Dries up puddles
Ducklifors,Spell,Turns things into ducks (video games)
—,—,—
Ears to Kumquats,Spell,Give a person kumquat ears
Ear Shriveling,Curse,Cause a person’s ears to shrivel
Ebublio,Jinx,Puts an object in a large bubble (video games)
Engorgio,Charm,Enlarges and item
Engorgio Skullus,Hex,Engorges a skull (video games)
Ennervate,Spell,Counters Stupefy
Entomorphis,Hex,Makes target an insect (Lego video games)
Entrail-Expelling,Curse,Expel entrails from a body
Episkey,Spell,Heals minor injuries
Epoximise,Spell,Binds objects together
Erecto,Spell,Builds things
Evanesce,Spell,Makes things disappear (Trading card game)
Evanesco,Spell,Makes things vanish
Everte Statum,Spell,Throws a victim backwards
Expecto Patronum,Charm,Creates a Patronus – A Defensive Guardian
Expelliarmus,Charm,Disarms your opponent
Expulso,Spell,Makes Objects Explode
Extinguishing,Spell,Puts out fires
—,—,—
Ferula,Spell,Creates bandages
Fianto Duri,Charm,Defensive Charm
Fidelius,Charm,Hides a secret within someone
