PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
11 Com b                      , 19.400,       ,    326.0,0.231, 94.8,  0.0,  0.0,1209.5,1017.1, 956.0, 803.9, 10.481, 13.276, 24.285, 25.615
11 UMi b                      , 14.740,       ,    516.2,0.080, 90.0,  0.0,  0.0,1111.3, 934.5,1025.6, 862.5, 12.783, 16.192, 30.355, 32.018
14 And b                      ,  4.800,       ,    185.8,0.000,  0.0,  0.0,  0.0,1003.1, 843.5,1003.1, 843.5,  6.013,  7.617, 13.890, 14.651
14 Her b                      ,  4.660,       ,   1773.4,0.370, 90.0,  0.0,  0.0, 217.2, 182.7, 147.3, 123.9,  0.611,  0.774,  1.384,  1.459
16 Cyg B b                    ,  1.780,       ,    798.5,0.680, 90.0, 21.2, 29.2, 480.8, 404.3, 209.9, 176.5,  0.842,  1.066,  1.881,  1.984
18 Del b                      , 10.300,       ,    993.3,0.080,166.1,  0.0,  0.0, 538.6, 452.9, 497.1, 418.0,  4.958,  6.281, 11.375, 11.998
24 Boo b                      ,  0.910,       ,     30.4,0.042,210.0,  0.0,  0.0,2155.6,1812.6,2066.9,1738.0,  6.068,  7.686, 13.971, 14.736
24 Sex b                      ,  1.990,       ,    452.8,0.090,  9.2,  0.0,  0.0, 587.8, 494.2, 537.0, 451.6,  2.977,  3.771,  6.799,  7.171
24 Sex c                      ,  0.860,       ,    883.0,0.290,220.5,  0.0,  0.0, 532.7, 447.9, 395.2, 332.3,  2.977,  3.771,  6.799,  7.171
2MASS J21402931+1625183 A b   , 20.950,  0.920,   7336.5,0.260,223.0,  0.0,  0.0,  29.1,  24.5,  22.3,  18.8,  0.015,  0.019,  0.039,  0.041
30 Ari B b                    , 13.820,       ,    335.1,0.290, 90.0,  0.0, 23.9, 514.1, 432.3, 381.4, 320.7,  1.229,  1.557,  2.712,  2.860
42 Dra b                      ,  3.880,       ,    479.1,0.380,218.7,  0.0,  0.0,1315.9,1106.5, 882.0, 741.7,  9.398, 11.905, 22.332, 23.555
47 UMa b                      ,  2.530,       ,   1078.0,0.032,334.0, 60.5,100.0, 262.8, 221.0, 254.5, 214.0,  0.954,  1.208,  2.124,  2.240
47 UMa c                      ,  0.540,       ,   2391.0,0.098,295.0,  0.0,  0.0, 207.9, 174.8, 188.4, 158.5,  0.954,  1.208,  2.124,  2.240
47 UMa d                      ,  1.640,       ,  14002.0,0.160,110.0,  0.0,  0.0, 120.0, 100.9, 102.1,  85.9,  0.954,  1.208,  2.124,  2.240
4 UMa b                       ,  7.100,       ,    269.3,0.432, 23.8,  0.0,  0.0,1532.4,1288.6, 965.1, 811.6,  8.483, 10.745, 19.949, 21.041
51 Peg b                      ,  0.472,       ,      4.2,0.013, 58.0,  0.0,  0.0,1595.4,1341.5,1574.8,1324.2,  0.905,  1.146,  2.020,  2.131
55 Cnc b                      ,  0.804,       ,     14.7,0.000,338.5,  0.0,  0.0, 853.8, 717.9, 853.8, 717.9,  0.585,  0.741,  1.332,  1.405
55 Cnc c                      ,  0.161,       ,     44.4,0.030,  2.4,  0.0,  0.0, 599.3, 503.9, 581.5, 489.0,  0.585,  0.741,  1.332,  1.405
55 Cnc d                      ,  3.120,       ,   5574.2,0.130,290.9,  0.0,  0.0, 126.3, 106.2, 110.8,  93.2,  0.585,  0.741,  1.332,  1.405
55 Cnc e                      ,  0.025,  0.167,      0.7,0.050, 86.0,  0.0,  0.0,2373.9,1996.2,2258.0,1898.8,  0.585,  0.741,  1.332,  1.405
55 Cnc f                      ,  0.150,       ,    259.9,0.080,262.4, 68.3,100.0, 341.4, 287.1, 315.1, 265.0,  0.585,  0.741,  1.332,  1.405
61 Vir b                      ,  0.016,       ,      4.2,0.120,105.0,  0.0,  0.0,1492.0,1254.7,1322.6,1112.1,  0.681,  0.862,  1.529,  1.613
61 Vir c                      ,  0.057,       ,     38.0,0.140,341.0,  0.0,  0.0, 725.1, 609.7, 629.8, 529.6,  0.681,  0.862,  1.529,  1.613
61 Vir d                      ,  0.072,       ,    123.0,0.350,314.0,  0.0,  0.0, 563.8, 474.1, 391.2, 329.0,  0.681,  0.862,  1.529,  1.613
6 Lyn b                       ,  2.010,       ,    934.3,0.073,130.0,  0.0,  0.0, 461.6, 388.2, 429.1, 360.8,  2.985,  3.780,  6.858,  7.234
70 Vir b                      ,  7.416,       ,    116.7,0.399,359.8,  0.0,  0.0, 805.5, 677.3, 528.1, 444.0,  1.305,  1.653,  2.939,  3.099
75 Cet b                      ,  3.000,       ,    691.9,0.117,165.0,  0.0,  0.0, 658.5, 553.7, 585.5, 492.3,  5.781,  7.322, 13.335, 14.065
7 CMa b                       ,  1.850,       ,    735.1,0.060,165.3,  0.0,  0.0, 475.1, 399.5, 447.4, 376.2,  2.684,  3.400,  6.198,  6.537
7 CMa c                       ,  0.870,       ,    996.0,0.080,233.5,  0.0,  0.0, 434.0, 364.9, 400.5, 336.8,  2.684,  3.400,  6.198,  6.537
81 Cet b                      ,  5.300,       ,    952.7,0.206,175.0,  0.0,  0.0, 654.3, 550.2, 530.9, 446.4,  6.125,  7.759, 14.166, 14.942
8 UMi b                       ,  1.310,       ,     93.4,0.060, 90.0,  0.0,  0.0,1314.2,1105.1,1237.6,1040.7,  5.719,  7.244, 13.192, 13.915
91 Aqr b                      ,  3.200,       ,    181.4,0.027,177.3,  0.0,  0.0,1074.9, 903.9,1046.3, 879.8,  5.701,  7.221, 13.254, 13.980
alf Ari b                     ,  1.800,       ,    380.8,0.250, 89.2,  0.0,  0.0,1025.9, 862.7, 794.7, 668.2,  6.891,  8.729, 16.103, 16.984
alf Tau b                     ,  6.470,       ,    629.0,0.100,287.0,  0.0,  0.0,1362.1,1145.4,1232.1,1036.0, 18.000, 22.800, 43.077, 45.436
AU Mic b                      ,  0.180,  0.375,      8.5,0.100, 90.0,  0.0,  0.0, 744.3, 625.9, 673.2, 566.1,  0.245,  0.310,  0.596,  0.629
BD+03 2562 b                  ,  6.400,       ,    481.9,0.200,218.0,  0.0,  0.0,1536.8,1292.3,1254.8,1055.1, 18.118, 22.950, 43.273, 45.643
BD-06 1339 b                  ,  0.027,       ,      3.9,0.000,  0.0,  0.0,  0.0, 889.0, 747.6, 889.0, 747.6,  0.248,  0.314,  0.586,  0.618
BD-06 1339 c                  ,  0.170,       ,    125.9,0.310, 41.0, 89.7,100.0, 335.7, 282.3, 243.6, 204.9,  0.248,  0.314,  0.586,  0.618
BD-08 2823 b                  ,  0.040,       ,      5.6,0.150, 90.0,  0.0,  0.0,1030.3, 866.4, 885.8, 744.8,  0.390,  0.494,  0.900,  0.949
BD-08 2823 c                  ,  0.330,       ,    237.6,0.190,127.0,100.0,100.0, 313.5, 263.6, 258.7, 217.5,  0.390,  0.494,  0.900,  0.949
BD-10 3166 b                  ,  0.590,       ,      3.5,0.020, 90.0,  0.0,  0.0,1489.8,1252.8,1460.3,1228.0,  0.609,  0.771,  1.375,  1.451
BD-11 4672 b                  ,  0.650,       ,   1634.0,0.050,343.9,  0.0,  0.0, 139.3, 117.1, 132.5, 111.4,  0.316,  0.401,  0.739,  0.780
BD-11 4672 c                  ,  0.048,       ,     74.2,0.400,245.9, 25.3, 58.3, 491.5, 413.3, 321.7, 270.6,  0.316,  0.401,  0.739,  0.780
BD-13 2130 b                  ,  9.780,       ,    714.3,0.210, 90.0,  0.0,  0.0, 996.3, 837.8, 805.1, 677.0,  9.474, 12.000, 22.144, 23.357
BD+14 4559 b                  ,  1.040,       ,    268.9,0.290, 90.0, 83.3,100.0, 347.5, 292.2, 257.8, 216.8,  0.481,  0.609,  1.108,  1.168
BD+15 2375 b                  ,  1.061,       ,    153.2,0.001, 55.0,  0.0,  0.0,1078.0, 906.5,1077.0, 905.6,  4.848,  6.140, 11.278, 11.896
BD+15 2940 b                  ,  1.110,       ,    137.5,0.260,302.0,  0.0,  0.0,1668.1,1402.7,1278.4,1075.0,  7.997, 10.129, 18.486, 19.498
BD-17 63 b                    ,  5.100,       ,    655.6,0.540,112.2, 13.5, 15.1, 285.6, 240.1, 156.1, 131.2,  0.363,  0.460,  0.843,  0.889
BD+20 2457 b                  , 55.590,       ,    379.6,0.150, 90.0,  0.0,  0.0,2178.3,1831.7,1872.8,1574.8, 31.105, 39.399, 73.697, 77.733
BD+20 2457 c                  , 12.470,       ,    622.0,0.180,126.0,  0.0,  0.0,1603.0,1347.9,1336.2,1123.6, 31.105, 39.399, 73.697, 77.733
BD+20 274 b                   ,  4.200,       ,    578.2,0.210,108.5,  0.0,  0.0,1010.1, 849.4, 816.1, 686.3,  7.687,  9.737, 18.181, 19.176
BD+20 594 b                   ,  0.070,  0.230,     41.7,0.000, 90.0,  0.0,  0.0, 650.3, 546.8, 650.3, 546.8,  0.808,  1.023,  1.805,  1.904
BD+48 738 b                   ,  0.910,       ,    392.6,0.200,358.9,  0.0,  0.0, 979.7, 823.8, 799.9, 672.6,  5.613,  7.110, 13.200, 13.923
BD+48 740 b                   ,  1.700,       ,    733.0,0.760,100.0,  0.0,  0.0,1332.9,1120.8, 492.2, 413.9,  5.277,  6.684, 12.342, 13.017
BD+49 828 b                   ,  1.600,       ,   2590.0,0.350,170.0, 25.9, 59.7, 467.2, 392.9, 324.2, 272.6,  4.267,  5.404,  9.802, 10.339
bet Cnc b                     ,  7.800,       ,    605.2,0.080, 58.9,  0.0,  0.0,1406.1,1182.4,1297.8,1091.3, 22.811, 28.894, 54.490, 57.473
bet UMi b                     ,  6.100,       ,    522.3,0.190,307.4,  0.0,  0.0,1497.4,1259.1,1235.4,1038.8, 18.741, 23.738, 44.691, 47.139
CFBDSIR J145829+101343 b      , 10.500,       ,  10037.5,0.000, 90.0,  0.0,  0.0,   6.6,   5.5,   6.6,   5.5,  0.001,  0.001,  0.003,  0.003
CoRoT-10 b                    ,  2.750,  0.970,     13.2,0.530,218.9,  0.0,  0.0,1161.5, 976.7, 643.7, 541.3,  0.476,  0.603,  1.087,  1.147
CoRoT-11 b                    ,  2.330,  1.430,      3.0,0.000, 90.0,  0.0,  0.0,2069.8,1740.5,2069.8,1740.5,  1.228,  1.555,  2.704,  2.852
CoRoT-12 b                    ,  0.917,  1.440,      2.8,0.070,105.0,  0.0,  0.0,1781.8,1498.3,1661.2,1396.9,  0.816,  1.034,  1.828,  1.928
CoRoT-13 b                    ,  1.308,  0.885,      4.0,0.000, 90.0,  0.0,  0.0,1516.9,1275.6,1516.9,1275.6,  0.795,  1.006,  1.767,  1.864
CoRoT-14 b                    ,  7.600,  1.090,      1.5,0.000, 90.0,  0.0,  0.0,2316.4,1947.9,2316.4,1947.9,  0.976,  1.236,  2.166,  2.284
